2025-07-21 18:56:31,305 - DingTalk - INFO - 启动钉钉客户端
2025-07-21 18:56:31,305 - DingTalk - INFO - 应用ID：dingl9elinjlttwmpsxq
2025-07-21 18:56:31,305 - DingTalk - INFO - 使用凭证连接钉钉
2025-07-21 18:56:31,305 - DingTalk - INFO - 钉钉客户端连接成功
2025-07-21 18:56:31,305 - DingTalk - INFO - 已注册ChatbotMessage的回掉处理器
2025-07-21 18:56:31,305 - DingTalk - INFO - 正在启动钉钉客户端...
2025-07-21 18:56:31,306 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:32,185 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '5ca51a8f-6621-11f0-8d8a-de809d1c6511'}
2025-07-21 18:56:35,239 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:36,076 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '5ef71939-6621-11f0-b05d-329bedae46d2'}
2025-07-21 18:56:39,104 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:39,947 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '61461713-6621-11f0-8bc5-6647947ab531'}
2025-07-21 18:56:42,972 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:43,833 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '639645df-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 18:56:46,861 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
2025-07-21 18:56:47,724 - DingTalk - INFO - endpoint is {'endpoint': 'wss://wss-open-connection.dingtalk.com:443/connect', 'ticket': '65e7e1cd-6621-11f0-832b-b613d2b14d1f'}
2025-07-21 18:56:50,742 - DingTalk - INFO - open connection, url=https://api.dingtalk.com/v1.0/gateway/connections/open
